,customer_no,path
0,1,dd
1,2,ddd
2,3,dd
3,4,dddd
4,5,s
5,6,sddddddddddddskkkkkkksdss
6,7,skkkkssff
7,8,fff
8,9,ddddddf
9,10,ff
10,11,kk
11,12,skkk
12,13,dddddddsdf
13,14,fff
14,15,sffff
15,16,ddss
16,17,fffffffffff
17,18,ffddd
18,19,skkkkkkk
19,20,kk
20,21,kks
21,22,ffdd
22,23,f
23,24,kkkkkk
24,25,sdskkk
25,26,ffffdddd
26,27,sssdddddddddddddd
27,28,kkk
28,29,kk
29,30,skfdff
30,31,s
31,32,kkk
32,33,fffddsdkkskkkkkk
33,34,skkkkkkksf
34,35,dkkk
35,36,d
36,37,ffff
37,38,ffffddd
38,39,d
39,40,ddds
40,41,kdsskkk
41,42,ddddssfddddddddddd
42,43,ffdddddddddddffdd
43,44,f
44,45,sdddfkkkffddddddddddddddddddd
45,46,f
46,47,kffffdddd
47,48,k
48,49,s
49,50,fkks
50,51,fffdd
51,52,kkssfffkff
52,53,fff
53,54,sdddddd
54,55,ssddd
55,56,fffdskkkkk
56,57,f
57,58,kk
58,59,dddddkkkf
59,60,ffk
60,61,skkkkkkk
61,62,sskkk
62,63,skffdffkk
63,64,kkfkk
64,65,kkkkkkd
65,66,ssskkss
66,67,ddsskk
67,68,ssskkkffss
68,69,f
69,70,sskkk
70,71,dfffffff
71,72,sskkkkkkk
72,73,d
73,74,ssf
74,75,sdkkskk
75,76,kkkkkdk
76,77,ffffffff
77,78,sddd
78,79,dddddddddk
79,80,dkkkkksdddddfff
80,81,kf
81,82,kkkkk
82,83,fd
83,84,ffkkkksddddddk
84,85,ks
85,86,skssffddffffssssdkffkkk
86,87,k
87,88,dddddddd
88,89,k
89,90,s
90,91,ffffddd
91,92,ddddd
92,93,d
93,94,kd
94,95,kkkkfffffsddddddddddddddddddd
95,96,d
96,97,fffffff
97,98,dkfk
98,99,ddkkskk
99,100,kkkkkkk
100,101,ffff
101,102,ddddd
102,103,ddkskk
103,104,ffffffskksdddfffffffff
104,105,f
105,106,kss
106,107,ddddddddddddddds
107,108,fffd
108,109,ddddddddddddddddddddddddddddskkkffdddddsfsskk
109,110,sssddd
110,111,fffffffdd
111,112,fdddddd
112,113,ddkff
113,114,k
114,115,fffffff
115,116,k
116,117,ddssssk
117,118,ff
118,119,k
119,120,sssd
120,121,ddddd
121,122,dddddk
122,123,kkkkd
123,124,ff
124,125,ff
125,126,fffffff
126,127,sfs
127,128,ffffff
128,129,s
129,130,kk
130,131,d
131,132,ff
132,133,dddkkkkkkkksssdddddssssdf
133,134,kkkk
134,135,dddd
135,136,ddddkf
136,137,ffff
137,138,fdskkkk
138,139,ddd
139,140,fff
140,141,ff
141,142,dddddkk
142,143,dddk
143,144,kkkkkssssk
144,145,k
145,146,ddskkss
146,147,ddfsffkkkk
147,148,ss
148,149,sfff
149,150,dddddk
150,151,dddddfffff
151,152,ff
152,153,dd
153,154,ddssskkfffkkfssddddddd
154,155,k
155,156,f
156,157,sssddd
157,158,kkskkkkkkkkk
158,159,kffffsssssskf
159,160,ffkkkkk
160,161,dkksskksssssd
161,162,sfff
162,163,ksddddddkkkkkkkkk
163,164,ffddddd
164,165,fffffffdkkkkkkk
165,166,ddddddd
166,167,sdffdkkkkksffffffffffffkkksddd
167,168,kks
168,169,kkkss
169,170,fff
170,171,sddd
171,172,kkssssdddd
172,173,kkkkk
173,174,ffff
174,175,k
175,176,kff
176,177,ff
177,178,fffkkk
178,179,ssk
179,180,ffffffd
180,181,fd
181,182,ddsdddd
182,183,f
183,184,kskf
184,185,dddd
185,186,dddddddddddfddddddkkkkffddddddddksf
186,187,kkssdfff
187,188,fff
188,189,dskkkff
189,190,sdddddd
190,191,ddddddkssd
191,192,dddddddkkkkkfk
192,193,kkk
193,194,k
194,195,ddfk
195,196,dssffff
196,197,ffffs
197,198,ff
198,199,ffffddddfffskkksss
199,200,ffffff
200,201,fddd
201,202,ddd
202,203,skkkk
203,204,d
204,205,ffkk
205,206,fffddkffddddddd
206,207,ff
207,208,ddkkffdddd
208,209,f
209,210,ff
210,211,ddddddsdddkkkf
211,212,dd
212,213,k
213,214,ffffdkkkkkkfkkkkkk
214,215,f
215,216,ddkkksk
216,217,ssddddkkkfffffffd
217,218,ffff
218,219,ffddddddddddddfffffffff
219,220,ffssskkkffffddddkkk
220,221,dddddd
221,222,s
222,223,ff
223,224,sk
224,225,ffs
225,226,ff
226,227,ff
227,228,sskk
228,229,ssssdddfffddddddff
229,230,ffdkkkk
230,231,fffffffdkk
231,232,dkkkkkkf
232,233,ffffdddddddddddddddd
233,234,fkfddddddddkkssssf
234,235,dddd
235,236,kkkkkkkffssddddddddddddffffff
236,237,sskkf
237,238,dfff
238,239,f
239,240,sk
240,241,sdkk
241,242,ffff
242,243,skkkkkkk
243,244,sdddd
244,245,fff
245,246,ff
246,247,fkk
247,248,fskkkk
248,249,f
249,250,dd
250,251,sf
251,252,skfkkk
252,253,dkkksddd
253,254,dddskkkkks
254,255,dd
255,256,ffdddkkkkfdskkkksf
256,257,dddddddff
257,258,ssssdssssddddfddk
258,259,k
259,260,ddkkkkkk
260,261,f
261,262,ff
262,263,dddddd
263,264,dkkkfd
264,265,f
265,266,fsk
266,267,fff
267,268,f
268,269,ffff
269,270,f
270,271,ddkkkk
271,272,ffk
272,273,fff
273,274,k
274,275,fdd
275,276,f
276,277,ffffffdddkkksk
277,278,ff
278,279,kkfffffffskkkkkkk
279,280,s
280,281,ffffkkk
281,282,ffs
282,283,ffffff
283,284,dddddsskkk
284,285,ddddddddkkk
285,286,ddddkkkkkfddds
286,287,sfffffffffffffffkk
287,288,fffffkkkkssdddddddddddddddddd
288,289,k
289,290,dddddddkkkkk
290,291,fdf
291,292,ffff
292,293,ssddkffdddddddff
293,294,kkkkf
294,295,f
295,296,f
296,297,ffffdddkkkkffff
297,298,ddddddddddddddddddds
298,299,sss
299,300,kskkkkkk
300,301,ffddddddddddsfff
301,302,ff
302,303,kk
303,304,fffffff
304,305,ssssdddddddddddskkkkffffff
305,306,dkkkkk
306,307,ff
307,308,f
308,309,s
309,310,dd
310,311,f
311,312,ddddfffkkkkkkfkkk
312,313,dk
313,314,dddfffffksk
314,315,dddddd
315,316,sssddffff
316,317,ddf
317,318,ddd
318,319,ffffddddsss
319,320,kk
320,321,fkk
321,322,ddddds
322,323,df
323,324,ffsddd
324,325,ss
325,326,d
326,327,kff
327,328,ssdddddsfffff
328,329,ssskk
329,330,fff
330,331,sf
331,332,dsdddddffddddddffff
332,333,sdddddddddddddds
333,334,ss
334,335,ddddd
335,336,s
336,337,f
337,338,f
338,339,ssddkkkkffff
339,340,ddddddddd
340,341,dfffffffffff
341,342,d
342,343,fff
343,344,sskf
344,345,sskffssssssk
345,346,sssdddddddff
346,347,d
347,348,skkksss
348,349,ssssddsksdd
349,350,dskkkffsffffffff
350,351,dd
351,352,dddddds
352,353,f
353,354,dddddddkkkkkkkkkk
354,355,sssss
355,356,s
356,357,kdk
357,358,ssdddd
358,359,fsskks
359,360,sk
360,361,dddddsddddddddddddddffffddddddkk
361,362,fff
362,363,ssk
363,364,ddddddds
364,365,fdddff
365,366,kkk
366,367,fff
367,368,ddddsdfddsdddd
368,369,kkkk
369,370,fff
370,371,ddddddddddddddddkk
371,372,dssdddf
372,373,kksdssddk
373,374,f
374,375,ff
375,376,fd
376,377,kk
377,378,ddk
378,379,sss
379,380,ddddffffsdsskkkkkssssfffkkksfddsfkk
380,381,dfs
381,382,ddddddddk
382,383,kkk
383,384,ff
384,385,dddddddddddk
385,386,dkkksss
386,387,s
387,388,sfff
388,389,ff
389,390,sskffsddddddddskk
390,391,kksksfffdddddsdssssddssfffff
391,392,fsss
392,393,f
393,394,ffffsffkkkkkssd
394,395,ff
395,396,kkkkkfff
396,397,f
397,398,sfff
398,399,sk
399,400,fff
400,401,dkk
401,402,kkkkkkfddddd
402,403,dd
403,404,d
404,405,f
405,406,dk
406,407,ssddd
407,408,f
408,409,dddd
409,410,ffffkkkkssdkk
410,411,d
411,412,fssskkffff
412,413,dddddsffffffff
413,414,s
414,415,dddddddddkkks
415,416,fk
416,417,ff
417,418,f
418,419,f
419,420,ddsssdddssddddd
420,421,s
421,422,fdddd
422,423,dddddddddfff
423,424,ff
424,425,ddfff
425,426,ff
426,427,d
427,428,ddd
428,429,kkk
429,430,sdd
430,431,dsddddddddd
431,432,ddddddd
432,433,ddddd
433,434,fdfdkkkkkffff
434,435,fss
435,436,ffddsdffskkkk
436,437,s
437,438,f
438,439,f
439,440,ddddddddddsddddddk
440,441,ff
441,442,kkkkkddfkkdk
442,443,ff
443,444,f
444,445,fksddd
445,446,dddffd
446,447,dddkkfddfff
447,448,f
448,449,kfff
449,450,sss
450,451,k
451,452,f
452,453,dddddfkkkkskfs
453,454,fffffddddk
454,455,fffkkkkkkkkkkkkssddddddkkkkssdssss
455,456,dddddddsff
456,457,dd
457,458,d
