customer_no,path
1,eddcc
2,edddcc
3,eddcc
4,eddddcc
5,escc
6,esddddddddddddskkkkkkksdsscc
7,eskkkkssffcc
8,efffcc
9,eddddddfcc
10,effcc
11,ekkcc
12,eskkkcc
13,edddddddsdfcc
14,efffcc
15,esffffcc
16,eddsscc
17,efffffffffffcc
18,effdddcc
19,eskkkkkkkcc
20,ekkcc
21,ekkscc
22,effddcc
23,efcc
24,ekkkkkkcc
25,esdskkkcc
26,effffddddcc
27,esssddddddddddddddcc
28,ekkkcc
29,ekkcc
30,eskfdffcc
31,escc
32,ekkkcc
33,efffddsdkkskkkkkkcc
34,eskkkkkkksfcc
35,edkkkcc
36,edcc
37,effffcc
38,effffdddcc
39,edcc
40,edddscc
41,ekdsskkkcc
42,eddddssfdddddddddddcc
43,effdddddddddddffddcc
44,efcc
45,esdddfkkkffdddddddddddddddddddcc
46,efcc
47,ekffffddddcc
48,ekcc
49,escc
50,efkkscc
51,efffddcc
52,ekkssfffkffcc
53,efffcc
54,esddddddcc
55,essdddcc
56,efffdskkkkkcc
57,efcc
58,ekkcc
59,edddddkkkfcc
60,effkcc
61,eskkkkkkkcc
62,esskkkcc
63,eskffdffkkcc
64,ekkfkkcc
65,ekkkkkkdcc
66,essskksscc
67,eddsskkcc
68,essskkkffsscc
69,efcc
70,esskkkcc
71,edfffffffcc
72,esskkkkkkkcc
73,edcc
74,essfcc
75,esdkkskkcc
76,ekkkkkdkcc
77,effffffffcc
78,esdddcc
79,edddddddddkcc
80,edkkkkksdddddfffcc
81,ekfcc
82,ekkkkkcc
83,efdcc
84,effkkkksddddddkcc
85,ekscc
86,eskssffddffffssssdkffkkkcc
87,ekcc
88,eddddddddcc
89,ekcc
90,escc
91,effffdddcc
92,edddddcc
93,edcc
94,ekdcc
95,ekkkkfffffsdddddddddddddddddddcc
96,edcc
97,efffffffcc
98,edkfkcc
99,eddkkskkcc
100,ekkkkkkkcc
101,effffcc
102,edddddcc
103,eddkskkcc
104,effffffskksdddfffffffffcc
105,efcc
106,eksscc
107,edddddddddddddddscc
108,efffdcc
109,eddddddddddddddddddddddddddddskkkffdddddsfsskkcc
110,esssdddcc
111,efffffffddcc
112,efddddddcc
113,eddkffcc
114,ekcc
115,efffffffcc
116,ekcc
117,eddsssskcc
118,effcc
119,ekcc
120,esssdcc
121,edddddcc
122,edddddkcc
123,ekkkkdcc
124,effcc
125,effcc
126,efffffffcc
127,esfscc
128,effffffcc
129,escc
130,ekkcc
131,edcc
132,effcc
133,edddkkkkkkkksssdddddssssdfcc
134,ekkkkcc
135,eddddcc
136,eddddkfcc
137,effffcc
138,efdskkkkcc
139,edddcc
140,efffcc
141,effcc
142,edddddkkcc
143,edddkcc
144,ekkkkksssskcc
145,ekcc
146,eddskksscc
147,eddfsffkkkkcc
148,esscc
149,esfffcc
150,edddddkcc
151,edddddfffffcc
152,effcc
153,eddcc
154,eddssskkfffkkfssdddddddcc
155,ekcc
156,efcc
157,esssdddcc
158,ekkskkkkkkkkkcc
159,ekffffsssssskfcc
160,effkkkkkcc
161,edkksskksssssdcc
162,esfffcc
163,eksddddddkkkkkkkkkcc
164,effdddddcc
165,efffffffdkkkkkkkcc
166,edddddddcc
167,esdffdkkkkksffffffffffffkkksdddcc
168,ekkscc
169,ekkksscc
170,efffcc
171,esdddcc
172,ekkssssddddcc
173,ekkkkkcc
174,effffcc
175,ekcc
176,ekffcc
177,effcc
178,efffkkkcc
179,esskcc
180,effffffdcc
181,efdcc
182,eddsddddcc
183,efcc
184,ekskfcc
185,eddddcc
186,edddddddddddfddddddkkkkffddddddddksfcc
187,ekkssdfffcc
188,efffcc
189,edskkkffcc
190,esddddddcc
191,eddddddkssdcc
192,edddddddkkkkkfkcc
193,ekkkcc
194,ekcc
195,eddfkcc
196,edssffffcc
197,effffscc
198,effcc
199,effffddddfffskkkssscc
200,effffffcc
201,efdddcc
202,edddcc
203,eskkkkcc
204,edcc
205,effkkcc
206,efffddkffdddddddcc
207,effcc
208,eddkkffddddcc
209,efcc
210,effcc
211,eddddddsdddkkkfcc
212,eddcc
213,ekcc
214,effffdkkkkkkfkkkkkkcc
215,efcc
216,eddkkkskcc
217,essddddkkkfffffffdcc
218,effffcc
219,effddddddddddddfffffffffcc
220,effssskkkffffddddkkkcc
221,eddddddcc
222,escc
223,effcc
224,eskcc
225,effscc
226,effcc
227,effcc
228,esskkcc
229,essssdddfffddddddffcc
230,effdkkkkcc
231,efffffffdkkcc
232,edkkkkkkfcc
233,effffddddddddddddddddcc
234,efkfddddddddkkssssfcc
235,eddddcc
236,ekkkkkkkffssddddddddddddffffffcc
237,esskkfcc
238,edfffcc
239,efcc
240,eskcc
241,esdkkcc
242,effffcc
243,eskkkkkkkcc
244,esddddcc
245,efffcc
246,effcc
247,efkkcc
248,efskkkkcc
249,efcc
250,eddcc
251,esfcc
252,eskfkkkcc
253,edkkksdddcc
254,edddskkkkkscc
255,eddcc
256,effdddkkkkfdskkkksfcc
257,edddddddffcc
258,essssdssssddddfddkcc
259,ekcc
260,eddkkkkkkcc
261,efcc
262,effcc
263,eddddddcc
264,edkkkfdcc
265,efcc
266,efskcc
267,efffcc
268,efcc
269,effffcc
270,efcc
271,eddkkkkcc
272,effkcc
273,efffcc
274,ekcc
275,efddcc
276,efcc
277,effffffdddkkkskcc
278,effcc
279,ekkfffffffskkkkkkkcc
280,escc
281,effffkkkcc
282,effscc
283,effffffcc
284,edddddsskkkcc
285,eddddddddkkkcc
286,eddddkkkkkfdddscc
287,esfffffffffffffffkkcc
288,efffffkkkkssddddddddddddddddddcc
289,ekcc
290,edddddddkkkkkcc
291,efdfcc
292,effffcc
293,essddkffdddddddffcc
294,ekkkkfcc
295,efcc
296,efcc
297,effffdddkkkkffffcc
298,edddddddddddddddddddscc
299,essscc
300,ekskkkkkkcc
301,effddddddddddsfffcc
302,effcc
303,ekkcc
304,efffffffcc
305,essssdddddddddddskkkkffffffcc
306,edkkkkkcc
307,effcc
308,efcc
309,escc
310,eddcc
311,efcc
312,eddddfffkkkkkkfkkkcc
313,edkcc
314,edddfffffkskcc
315,eddddddcc
316,esssddffffcc
317,eddfcc
318,edddcc
319,effffddddssscc
320,ekkcc
321,efkkcc
322,edddddscc
323,edfcc
324,effsdddcc
325,esscc
326,edcc
327,ekffcc
328,essdddddsfffffcc
329,essskkcc
330,efffcc
331,esfcc
332,edsdddddffddddddffffcc
333,esddddddddddddddscc
334,esscc
335,edddddcc
336,escc
337,efcc
338,efcc
339,essddkkkkffffcc
340,edddddddddcc
341,edfffffffffffcc
342,edcc
343,efffcc
344,esskfcc
345,esskffsssssskcc
346,esssdddddddffcc
347,edcc
348,eskkkssscc
349,essssddsksddcc
350,edskkkffsffffffffcc
351,eddcc
352,eddddddscc
353,efcc
354,edddddddkkkkkkkkkkcc
355,essssscc
356,escc
357,ekdkcc
358,essddddcc
359,efsskkscc
360,eskcc
361,edddddsddddddddddddddffffddddddkkcc
362,efffcc
363,esskcc
364,edddddddscc
365,efdddffcc
366,ekkkcc
367,efffcc
368,eddddsdfddsddddcc
369,ekkkkcc
370,efffcc
371,eddddddddddddddddkkcc
372,edssdddfcc
373,ekksdssddkcc
374,efcc
375,effcc
376,efdcc
377,ekkcc
378,eddkcc
379,essscc
380,eddddffffsdsskkkkkssssfffkkksfddsfkkcc
381,edfscc
382,eddddddddkcc
383,ekkkcc
384,effcc
385,edddddddddddkcc
386,edkkkssscc
387,escc
388,esfffcc
389,effcc
390,esskffsddddddddskkcc
391,ekksksfffdddddsdssssddssfffffcc
392,efssscc
393,efcc
394,effffsffkkkkkssdcc
395,effcc
396,ekkkkkfffcc
397,efcc
398,esfffcc
399,eskcc
400,efffcc
401,edkkcc
402,ekkkkkkfdddddcc
403,eddcc
404,edcc
405,efcc
406,edkcc
407,essdddcc
408,efcc
409,eddddcc
410,effffkkkkssdkkcc
411,edcc
412,efssskkffffcc
413,edddddsffffffffcc
414,escc
415,edddddddddkkkscc
416,efkcc
417,effcc
418,efcc
419,efcc
420,eddsssdddssdddddcc
421,escc
422,efddddcc
423,edddddddddfffcc
424,effcc
425,eddfffcc
426,effcc
427,edcc
428,edddcc
429,ekkkcc
430,esddcc
431,edsdddddddddcc
432,edddddddcc
433,edddddcc
